group,chain_size
monolingual,5
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
